       , in         , in         , out       
[1:31] , in         , out        , out       
       , in         , out        , out       
[1:32] , in         , out        , out       
       , in         , out        , in        
[1:33] , in         , out        , in        
       , out        , out        , in        
[1:34] , out        , silence5   , in        
       , out        , in         , in        
[1:35] , out        , in         , in        
       , out        , in         , humHigh   
[1:36] , out        , in         , humHigh   
       , silence1   , in         , humHigh   
[1:37] , silence1   , in         , humHigh   
       , in         , out        , humHigh   
[1:38] , in         , out        , humHigh   
       , in         , out        , silence1  
[1:39] , in         , out        , silence1  
       , in         , out        , silence1  
[1:40] , in         , out        , silence1  
       , out        , silence5   , silence1  
[1:41] , out        , in         , silence1  
       , out        , in         , silence1  
[1:42] , out        , in         , silence1  
       , out        , in         , silence1  
[1:43] , out        , in         , silence1  
       , silence1   , in         , in        
[1:44] , silence1   , out        , in        
       , in         , out        , in        
[1:45] , in         , out        , in        
       , in         , out        , in        
[1:46] , in         , out        , in        
       , in         , out        , out       
[1:47] , in         , silence5   , out       
       , out        , in         , out       
[1:48] , out        , in         , out       
       , out        , in         , out       
[1:49] , out        , in         , out       
       , out        , in         , in        
[1:50] , out        , in         , in        
       , silence1   , out        , in        
[1:51] , silence1   , out        , in        
       , in         , out        , in        
[1:52] , in         , out        , in        
       , in         , out        , out       
[1:53] , in         , out        , out       
       , in         , silence5   , out       
[1:54] , in         , in         , out       
       , out        , in         , out       
[1:55] , out        , in         , out       
       , out        , in         , silence1  
[1:56] , out        , in         , silence1  
       , out        , in         , in        
[1:57] , out        , out        , in        
       , silence1   , out        , in        
[1:58] , silence1   , out        , in        
       , in         , out        , in        
[1:59] , in         , out        , in        
       , in         , out        , out       
[2: 0] , in         , silence5   , out       
       , in         , in         , out       
[2: 1] , in         , in         , out       
       , out        , in         , out       
[2: 2] , out        , in         , out       
       , out        , in         , silence1  
[2: 3] , out        , in         , silence1  
       , out        , out        , in        
[2: 4] , out        , out        , in        
       , silence1   , out        , in        
[2: 5] , silence1   , out        , in        
       , in         , out        , in        
[2: 6] , in         , out        , in        
       , in         , silence5   , out       
[2: 7] , in         , in         , out       
       , in         , in         , out       
[2: 8] , in         , in         , out       
       , out        , in         , out       
[2: 9] , out        , in         , out       
       , out        , in         , silence1  
[2:10] , out        , out        , silence1  
       , out        , out        , in        
[2:11] , out        , out        , in        
       , silence1   , out        , in        
[2:12] , silence1   , out        , in        
       , in         , out        , in        
[2:13] , in         , silence5   , in        
       , in         , in         , out       
[2:14] , in         , in         , out       
       , in         , in         , out       
[2:15] , in         , in         , out       
       , out        , in         , out       
[2:16] , out        , in         , out       
       , out        , out        , silence1  
[2:17] , out        , out        , silence1  
       , out        , out        , in        
[2:18] , out        , out        , in        
       , silence1   , out        , in        
[2:19] , silence1   , out        , in        
       , in         , silence5   , in        
[2:20] , in         , in         , in        
       , in         , in         , out       
[2:21] , in         , in         , out       
       , in         , in         , out       
[2:22] , in         , in         , out       
       , out        , in         , out       
[2:23] , out        , out        , out       
       , out        , out        , snapIntro 
[2:24] , out        , out        , snapIntro 
       , out        , out        , snapIntro 
[2:25] , out        , out        , snapIntro 
       , silence1   , out        , snapNow   
[2:26] , silence1   , silence5   , snapNow   
       , in         , in         , snapNow   
[2:27] , in         , in         , snapNow   
       , in         , in         , in        
[2:28] , in         , in         , in        
       , in         , in         , in        
[2:29] , in         , in         , in        
       , snapIntro  , snapIntro  , in        
[2:30] , snapIntro  , snapIntro  , in        
       , snapIntro  , snapIntro  , hold1     
[2:31] , snapIntro  , snapIntro  , hold1     
       , out        , out        , out       
[2:32] , out        , out        , out       
       , out        , out        , out       
[2:33] , out        , out        , out       
       , out        , out        , out       
[2:34] , out        , out        , out       
[2:34] , ********** , ********** , **********
       , inNose     , inNose     , inNose    
[2:35] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[2:36] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[2:37] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[2:38] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[2:39] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[2:40] , outMouth   , outMouth   , outMouth  
       , silence1   , silence1   , silence1  
[2:41] , silence1   , silence1   , silence1  
       , inNose     , inNose     , inNose    
[2:42] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[2:43] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[2:44] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[2:45] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[2:46] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[2:47] , outMouth   , outMouth   , outMouth  
       , silence1   , silence1   , silence1  
[2:48] , silence1   , silence1   , silence1  
[2:48] , ********** , ********** , **********
       , in         , silence1   , silence1  
[2:49] , in         , silence1   , silence1  
       , in         , silence1   , in        
[2:50] , in         , silence1   , in        
       , in         , in         , in        
[2:51] , in         , in         , in        
       , out        , in         , in        
[2:52] , out        , in         , in        
       , out        , in         , singLow   
[2:53] , out        , in         , singLow   
       , out        , singLow    , singLow   
[2:54] , out        , singLow    , singLow   
       , silence1   , singLow    , singLow   
[2:55] , silence1   , singLow    , singLow   
