       , intro      , intro      , intro     
       , silence1   , in         , silence1  
[1:24] , silence1   , in         , silence1  
       , silence1   , in         , in        
[1:25] , silence1   , in         , in        
       , silence1   , out        , in        
[1:26] , silence1   , out        , in        
       , silence1   , out        , in        
[1:27] , silence1   , out        , in        
       , in         , out        , singHigh  
[1:28] , in         , out        , singHigh  
       , in         , silence1   , singHigh  
[1:29] , in         , silence1   , singHigh  
       , in         , in         , singHigh  
[1:30] , in         , in         , singHigh  
       , out        , in         , silence1  
[1:31] , out        , in         , silence1  
       , out        , in         , silence1  
[1:32] , out        , in         , silence1  
       , out        , humLow     , silence1  
[1:33] , out        , humLow     , silence1  
       , silence1   , humLow     , silence1  
[1:34] , silence1   , humLow     , silence1  
       , in         , humLow     , silence1  
[1:35] , in         , humLow     , silence1  
       , in         , silence1   , in        
[1:36] , in         , silence1   , in        
       , in         , silence1   , in        
[1:37] , in         , silence1   , in        
       , out        , silence1   , in        
[1:38] , out        , silence1   , in        
       , out        , silence1   , humLow    
[1:39] , out        , silence1   , humLow    
       , out        , silence1   , humLow    
[1:40] , out        , silence1   , humLow    
       , silence1   , in         , humLow    
[1:41] , silence1   , in         , humLow    
       , in         , in         , silence1  
[1:42] , in         , in         , silence1  
       , in         , in         , silence1  
[1:43] , in         , in         , silence1  
       , in         , singHigh   , silence1  
[1:44] , in         , singHigh   , silence1  
       , singHigh   , singHigh   , silence1  
[1:45] , singHigh   , singHigh   , silence1  
       , singHigh   , singHigh   , silence1  
[1:46] , singHigh   , singHigh   , silence1  
       , singHigh   , silence1   , in        
[1:47] , singHigh   , silence1   , in        
       , silence1   , silence1   , in        
[1:48] , silence1   , silence1   , in        
       , silence1   , silence1   , in        
[1:49] , silence1   , silence1   , in        
       , silence1   , silence1   , singLow   
[1:50] , silence1   , silence1   , singLow   
       , silence1   , silence1   , singLow   
[1:51] , silence1   , silence1   , singLow   
       , silence1   , in         , singLow   
[1:52] , silence1   , in         , singLow   
       , in         , in         , silence1  
[1:53] , in         , in         , silence1  
       , in         , in         , silence1  
[1:54] , in         , in         , silence1  
       , in         , humHigh    , silence1  
[1:55] , in         , humHigh    , silence1  
       , humLow     , humHigh    , silence1  
[1:56] , humLow     , humHigh    , silence1  
       , humLow     , humHigh    , silence1  
[1:57] , humLow     , humHigh    , silence1  
       , humLow     , silence1   , in        
[1:58] , humLow     , silence1   , in        
       , silence1   , silence1   , in        
[1:59] , silence1   , silence1   , in        
       , silence1   , silence1   , in        
[2: 0] , silence1   , silence1   , in        
       , silence1   , silence1   , out       
[2: 1] , silence1   , silence1   , out       
       , silence1   , silence1   , out       
[2: 2] , silence1   , silence1   , out       
       , silence1   , silence1   , out       
[2: 3] , silence1   , silence1   , out       
       , silence1   , silence1   , silence1  
[2: 4] , silence1   , silence1   , silence1  
       , silence1   , silence1   , silence1  
[2: 5] , silence1   , silence1   , silence1  
[2: 5] , ********** , ********** , **********
       , inNose     , inNose     , inNose    
[2: 6] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[2: 7] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[2: 8] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[2: 9] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[2:10] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[2:11] , outMouth   , outMouth   , outMouth  
       , inNose     , inNose     , inNose    
[2:12] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[2:13] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[2:14] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[2:15] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[2:16] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[2:17] , outMouth   , outMouth   , outMouth  
       , inNose     , inNose     , inNose    
[2:18] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[2:19] , inNose     , inNose     , inNose    
       , inNose     , inNose     , inNose    
[2:20] , inNose     , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[2:21] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[2:22] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[2:23] , outMouth   , outMouth   , outMouth  
       , inMouth    , inNose     , inNose    
[2:24] , inMouth    , inNose     , inNose    
       , inMouth    , inNose     , inNose    
[2:25] , inMouth    , inNose     , inNose    
       , inMouth    , inNose     , inNose    
[2:26] , inMouth    , inNose     , inNose    
       , outMouth   , outMouth   , outMouth  
[2:27] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[2:28] , outMouth   , outMouth   , outMouth  
       , outMouth   , outMouth   , outMouth  
[2:29] , outMouth   , outMouth   , outMouth  
       , jchill     , inMouth    , inNose    
[2:30] , jchill     , inMouth    , inNose    
       , jchill     , inMouth    , inNose    
[2:31] , jchill     , inMouth    , inNose    
       , jchill     , inMouth    , inNose    
[2:32] , jchill     , inMouth    , inNose    
       , jchill     , outMouth   , outMouth  
[2:33] , jchill     , outMouth   , outMouth  
       , silence1   , outMouth   , outMouth  
[2:34] , silence1   , outMouth   , outMouth  
       , silence1   , outMouth   , outMouth  
[2:35] , silence1   , outMouth   , outMouth  
       , silence1   , jchill     , inNose    
[2:36] , silence1   , jchill     , inNose    
       , silence1   , jchill     , inNose    
[2:37] , silence1   , jchill     , inNose    
       , silence1   , jchill     , inNose    
[2:38] , silence1   , jchill     , inNose    
       , silence1   , jchill     , outMouth  
[2:39] , silence1   , jchill     , outMouth  
       , silence1   , silence1   , outMouth  
[2:40] , silence1   , silence1   , outMouth  
       , silence1   , silence1   , outMouth  
[2:41] , silence1   , silence1   , outMouth  
       , silence1   , silence1   , inNose    
[2:42] , silence1   , silence1   , inNose    
       , silence1   , silence1   , inNose    
[2:43] , silence1   , silence1   , inNose    
       , silence1   , silence1   , inNose    
[2:44] , silence1   , silence1   , inNose    
       , silence1   , silence1   , outMouth  
[2:45] , silence1   , silence1   , outMouth  
       , silence1   , silence1   , outMouth  
[2:46] , silence1   , silence1   , outMouth  
       , silence1   , silence1   , outMouth  
[2:47] , silence1   , silence1   , outMouth  
[2:47] , ********** , ********** , **********
       , snapNow    , snapNow    , snapNow   
[2:48] , snapNow    , snapNow    , snapNow   
       , snapNow    , snapNow    , snapNow   
[2:49] , snapNow    , snapNow    , snapNow   
[2:49] , ********** , ********** , **********
       , snapIntro  , snapIntro  , in        
[2:50] , snapIntro  , snapIntro  , in        
       , snapIntro  , snapIntro  , in        
[2:51] , snapIntro  , snapIntro  , in        
       , snapNow    , snapNow    , in        
[2:52] , snapNow    , snapNow    , in        
       , snapNow    , snapNow    , humLow    
[2:53] , snapNow    , snapNow    , humLow    
       , in         , in         , humLow    
[2:54] , in         , in         , humLow    
       , in         , in         , humLow    
[2:55] , in         , in         , humLow    
       , in         , in         , silence1  
[2:56] , in         , in         , silence1  
       , out        , humLow     , silence1  
[2:57] , out        , humLow     , silence1  
       , out        , humLow     , silence1  
[2:58] , out        , humLow     , silence1  
       , out        , humLow     , silence1  
[2:59] , out        , humLow     , silence1  
       , silence1   , silence1   , silence1  
[3: 0] , silence1   , silence1   , silence1  
       , snapNow    , silence1   , snapIntro 
[3: 1] , snapNow    , silence1   , snapIntro 
